	-50.0	-49.666666666666664	-49.33333333333333	-48.99999999999999	-48.66666666666666	-48.33333333333332	-47.999999999999986	-47.66666666666665	-47.333333333333314	-46.99999999999998	-46.66666666666664	-46.33333333333331	-45.99999999999997	-45.666666666666636	-45.3333333333333	-44.999999999999964	-44.66666666666663	-44.33333333333329	-43.99999999999996	-43.66666666666662	-43.333333333333286	-42.99999999999995	-42.666666666666615	-42.33333333333328	-41.99999999999994	-41.66666666666661	-41.33333333333327	-40.999999999999936	-40.6666666666666	-40.333333333333265	-39.99999999999993	-39.66666666666659	-39.33333333333326	-38.99999999999992	-38.666666666666586	-38.33333333333325	-37.999999999999915	-37.66666666666658	-37.33333333333324	-36.99999999999991	-36.66666666666657	-36.333333333333236	-35.9999999999999	-35.666666666666565	-35.33333333333323	-34.99999999999989	-34.66666666666656	-34.33333333333322	-33.999999999999886	-33.66666666666655	-33.333333333333215	-32.99999999999988	-32.66666666666654	-32.33333333333321	-31.999999999999872	-31.666666666666536	-31.3333333333332	-30.999999999999865	-30.66666666666653	-30.333333333333194	-29.999999999999858	-29.666666666666522	-29.333333333333186	-28.99999999999985	-28.666666666666515	-28.33333333333318	-27.999999999999844	-27.666666666666508	-27.333333333333172	-26.999999999999837	-26.6666666666665	-26.333333333333165	-25.99999999999983	-25.666666666666494	-25.333333333333158	-24.999999999999822	-24.666666666666487	-24.33333333333315	-23.999999999999815	-23.66666666666648	-23.333333333333144	-22.999999999999808	-22.666666666666472	-22.333333333333137	-21.9999999999998	-21.666666666666465	-21.33333333333313	-20.999999999999794	-20.66666666666646	-20.333333333333123	-19.999999999999787	-19.66666666666645	-19.333333333333115	-18.99999999999978	-18.666666666666444	-18.33333333333311	-17.999999999999773	-17.666666666666437	-17.3333333333331	-16.999999999999766	-16.66666666666643	-16.333333333333094	-15.999999999999758	-15.666666666666423	-15.333333333333087	-14.999999999999751	-14.666666666666416	-14.33333333333308	-13.999999999999744	-13.666666666666409	-13.333333333333073	-12.999999999999737	-12.666666666666401	-12.333333333333066	-11.99999999999973	-11.666666666666394	-11.333333333333059	-10.999999999999723	-10.666666666666387	-10.333333333333051	-9.999999999999716	-9.66666666666638	-9.333333333333044	-8.999999999999709	-8.666666666666373	-8.333333333333037	-7.999999999999702	-7.666666666666366	-7.33333333333303	-6.9999999999996945	-6.666666666666359	-6.333333333333023	-5.999999999999687	-5.666666666666352	-5.333333333333016	-4.99999999999968	-4.6666666666663446	-4.333333333333009	-3.999999999999673	-3.6666666666663374	-3.3333333333330017	-2.999999999999666	-2.6666666666663303	-2.3333333333329946	-1.999999999999659	-1.6666666666663232	-1.3333333333329875	-0.9999999999996518	-0.6666666666663161	-0.33333333333298043	3.552713678800501e-13	0.333333333333691	0.6666666666670267	1.0000000000003624	1.333333333333698	1.6666666666670338	2.0000000000003695	2.333333333333705	2.666666666667041	3.0000000000003766	3.3333333333337123	3.666666666667048	4.000000000000384	4.333333333333719	4.666666666667055	5.000000000000391	5.3333333333337265	5.666666666667062	6.000000000000398	6.333333333333734	6.666666666667069	7.000000000000405	7.333333333333741	7.666666666667076	8.000000000000412	8.333333333333748	8.666666666667084	9.00000000000042	9.333333333333755	9.66666666666709	10.000000000000426	10.333333333333762	10.666666666667098	11.000000000000433	11.33333333333377	11.666666666667105	12.00000000000044	12.333333333333776	12.666666666667112	13.000000000000448	13.333333333333783	13.666666666667119	14.000000000000455	14.333333333333798	14.666666666667126	15.000000000000455	15.333333333333798	15.66666666666714	16.00000000000047	16.333333333333798	16.66666666666714	17.000000000000483	17.33333333333381	17.66666666666714	18.000000000000483	18.333333333333826	18.666666666667155	19.000000000000483	19.333333333333826	19.66666666666717	20.000000000000497	20.333333333333826	20.66666666666717	21.00000000000051	21.33333333333384	21.66666666666717	22.00000000000051	22.333333333333854	22.666666666667183	23.00000000000051	23.333333333333854	23.666666666667197	24.000000000000526	24.333333333333854	24.666666666667197	25.00000000000054	25.33333333333387	25.666666666667197	26.00000000000054	26.333333333333883	26.66666666666721	27.00000000000054	27.333333333333883	27.666666666667226	28.000000000000554	28.333333333333883	28.666666666667226	29.00000000000057	29.333333333333897	29.666666666667226	30.00000000000057	30.33333333333391	30.66666666666724	31.00000000000057	31.33333333333391	31.666666666667254	32.00000000000058	32.33333333333391	32.666666666667254	33.0000000000006	33.333333333333925	33.666666666667254	34.0000000000006	34.33333333333394	34.66666666666727	35.0000000000006	35.33333333333394	35.66666666666728	36.00000000000061	36.33333333333394	36.66666666666728	37.000000000000625	37.333333333333954	37.66666666666728	38.000000000000625	38.33333333333397	38.6666666666673	39.000000000000625	39.33333333333397	39.66666666666731	40.00000000000064	40.33333333333397	40.66666666666731	41.000000000000654	41.33333333333398	41.66666666666731	42.000000000000654	42.333333333334	42.666666666667325	43.000000000000654	43.333333333334	43.66666666666734	44.00000000000067	44.333333333334	44.66666666666734	45.00000000000068	45.33333333333401	45.66666666666734	46.00000000000068	46.333333333334025	46.66666666666735	47.00000000000068	47.333333333334025	47.66666666666737	48.000000000000696	48.333333333334025	48.66666666666737	49.00000000000071	49.33333333333404	49.66666666666737	50.00000000000071	50.33333333333405
0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	600
8640000	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600
17280000	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600
25920000	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600
34560000	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600
43200000	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600
51840000	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600
60480000	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600
69120000	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600
